,MO code,MO description,count
269,1221,Missing Clothing/Jewelry,1
270,0316,Makes victim give money,1
271,1216,Sales,1
272,1315,Victim unloading vehicle,1
273,1214,"Banking, ATM",1
274,0340,Suspect follows victim/follows victim home,1
275,0346,Snatch property and runs,1
276,0353,Weapon Concealed,1
277,1026,Use the phone or toilet,1
278,0356,Suspect spits on victim,1
279,1207,Hitchhiker,1
280,1208,Illegal Alien,1
281,0422,Threaten Victims family,1
282,0414,Gagged,1
283,0417,Kicked,1
284,0541,Suspect puts object(s) in victim's rectum,1
285,0946,Gang Feud,1
286,0555,Suspect is Victim's Sister,1
287,0903,Hatred/Prejudice,1
288,2303,Theft/Loss/Diversion,1
289,2150,Coded/ciphered literature/correspondence,1
290,2145,Illicit radiological material (susp offer/solicts),1
291,0908,Prostitution,1
292,2100,Observation/Surveillance,1
293,2036,Hate-related language,1
294,2034,Victim was asleep/unconscious,1
295,2032,Victim left property unattended,1
296,2009,Suspect was Inmate/Incarcerated,1
297,2011,Vendor (street or sidewalk),1
298,0917,Victim's Employment,1
299,2027,Suspect was Pregnant,1
300,0923,Stolen/Forged Checks (Personal Checks),1
301,0929,Unauthorized use of victim's bank account information,1
302,2013,Tour Bus/Van Operator,1
303,1913,Suspect meets victim on internet/chatroom,1
304,1819,Common-law Spouse,1
305,1817,Acquaintance,1
306,1801,Susp is/was mother's boyfriend,1
307,0418,Kidnapped,1
308,0419,Pulled victims hair,1
309,2014,Suspect was Uber/Lyft driver,1
310,0424,Tore clothes off victim,1
311,1024,Teach,1
312,1022,Ride,1
313,1701,Elder Abuse/Physical,1
314,0431,Sprayed with chemical,1
315,1802,Susp is/was victim's co-worker,1
316,0521,Tongue or mouth to anus,1
317,0446,Suspect swung fist,1
318,1805,Susp is/was fellow gang member,1
319,1808,Susp is/was other religious confidant,1
320,0505,Forced to fondle suspect,1
321,1014,Game,1
322,0511,Masochism/bondage,1
323,0515,"Put hand, finger or object into vagina",1
324,0520,Solicited/offered immoral act,1
325,2315,Sector-Specific Incident (SSI),1
